Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
3,2020,Potentilla_erecta,22,7,1,2,0.6460521465239856
3,2020,Ranunculus_sp,21,7,1,1,0.5999007434211321
3,2020,Potentilla_erecta,20,7,1,6,0.7369776295376268
3,2020,Potentilla_erecta,19,7,1,2,0.6254236983050651
3,2020,Potentilla_erecta,18,7,1,1,0.6140991570974342
3,2020,Ranunculus_sp,18,7,1,1,0.6298251496055665
3,2020,Taraxacum_sp,17,7,1,1,0.5285920529305821
3,2020,Lathyrus_linifolius,16,7,1,1,0.7110154133686564
3,2020,Potentilla_erecta,15,7,1,1,0.6062991781150135
3,2020,Ranunculus_sp,14,7,1,3,0.7403316711809127
3,2020,Ranunculus_sp,13,7,1,1,0.6081570172574232
3,2020,Lathyrus_linifolius,11,7,1,2,0.7359364239649192
3,2020,Potentilla_erecta,11,7,1,3,0.7230060286279654
3,2020,Lotus_corniculatus,11,7,1,3,0.6699855535563876
3,2020,Ranunculus_sp,10,7,1,4,0.7437359800975345
3,2020,Potentilla_erecta,10,7,1,3,0.6642972078176218
3,2020,Lotus_corniculatus,8,7,1,8,0.6418149856334967
3,2020,Potentilla_erecta,6,7,1,2,0.6044260430904085
3,2020,Ranunculus_sp,4,7,1,1,0.5722797460546655
3,2020,Ranunculus_sp,3,7,1,1,0.630128868572408
3,2020,Potentilla_erecta,3,7,1,1,0.636422247884
3,2020,Ranunculus_sp,0,7,1,1,0.6013169679137754
3,2020,Ranunculus_sp,0,10,1,2,0.6963803232911735
3,2020,Ranunculus_sp,1,10,1,1,0.6324189045954924
3,2020,Ranunculus_sp,2,10,1,2,0.682204175971136
3,2020,Ranunculus_sp,4,10,1,3,0.670455159969791
3,2020,Ranunculus_sp,10,10,1,1,0.5915021763745342
3,2020,Ranunculus_sp,12,10,1,2,0.5706375410647859
3,2020,Ranunculus_sp,16,10,1,1,0.6361523450284851
3,2020,Ranunculus_sp,20,10,1,1,0.6791781298556496
3,2020,Taraxacum_sp,22,11,1,1,0.57949950775561
3,2020,Taraxacum_sp,21,11,1,1,0.573062869855737
3,2020,Taraxacum_sp,20,11,1,1,0.5539474319510282
3,2020,Taraxacum_sp,19,11,1,1,0.6083595188593247
3,2020,Potentilla_erecta,19,11,1,1,0.6667608689412513
3,2020,Taraxacum_sp,18,11,1,3,0.67261163038785865
3,2020,Lotus_corniculatus,18,11,1,2,0.5804781868217027
3,2020,Lotus_corniculatus,17,11,1,16,0.8179764064050672
3,2020,Potentilla_erecta,17,11,1,1,0.8842663162422746
3,2020,Potentilla_erecta,16,11,1,2,0.7099582766712782
3,2020,Lotus_corniculatus,16,11,1,3,0.5729174401556748
3,2020,Taraxacum_sp,15,11,1,1,0.5299192383343115
3,2020,Taraxacum_sp,14,11,1,1,0.5798970273514606
3,2020,Ranunculus_sp,14,11,1,1,0.5943586233053733
3,2020,Lotus_corniculatus,13,11,1,4,0.6608665254359203
3,2020,Ranunculus_sp,13,11,1,2,0.7719815141465188
