Fecha,Hora,Bosque,Ronda,Codigo-vuelo-dia,Codigo-Vuelos,Orden_vuelo,Planta_vistada,coord_flores(x),coord_flores(y),nº visitas,coord_planta(x),coord_planta(y),planta(dentro cuadro),,,Codigo_captura,idem capturados,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,tiempo,T (ºC),HR %,observaciones,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.18,18,Leontodon longirostris,2,8,1,2,8,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.19,19,Leontodon longirostris,2,8,1,2,8,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.20,20,Leontodon longirostris,1,8,1,1,8,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.21,21,Leontodon longirostris,1,8,1,1,8,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.22,22,Leontodon longirostris,1,8,1,1,8,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.23,23,Leontodon longirostris,1,8,1,1,8,4,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.24,24,Leontodon longirostris,1,8,1,1,8,5,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.25,25,Leontodon longirostris,1,8,1,1,8,6,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.26,26,Leontodon longirostris,1,8,1,1,8,7,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.27,27,Leontodon longirostris,2,8,1,2,8,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
