Fecha,Bosque,ronda,SP,X,Y,planta,flores etiquetadas,frutos recogidos,abortos,comentarios,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,1,2,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,2,,5,3,2,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,7,7,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,2,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,4,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,10,2,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,2,10,,5,3,2,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,3,6,,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,3,10,,5,3,2,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,1,1,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,1,2,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,2,,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,7,1,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,7,7,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,9,4,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,9,10,2,5,4,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,1,2,,7,2,5,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,1,7,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,2,10,,3,3,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,3,6,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,4,2,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,4,6,,4,2,2,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,5,1,,2,2,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,5,7,,2,2,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,6,1,1,1,1,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,9,2,,1,0,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,2,10,,2,1,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,3,4,,1,0,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,6,1,2,1,1,0,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,9,4,,1,0,1,,
30.04.2021,Pinar Puebla,6,Cistus crispus,8,6,,2,2,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,8,7,,1,1,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,9,6,,4,3,1,,
30.04.2021,Pinar Puebla,6,Cistus crispus,9,7,,2,2,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,10,7,,4,4,0,,
11.05.2021,Pinar Puebla,7,Cistus crispus,8,6,,3,1,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,8,7,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,9,6,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,9,7,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,10,6,,1,1,0,,
18.05.2021,Pinar Puebla,8,Cistus crispus,8,7,,2,0,2,,
18.05.2021,Pinar Puebla,8,Cistus crispus,9,6,,2,1,1,,
18.05.2021,Pinar Puebla,8,Cistus crispus,9,7,,2,1,1,,
18.05.2021,Pinar Puebla,8,Cistus crispus,10,6,,1,1,0,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,3,9,,5,0,5,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,5,10,1,5,1,4,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,5,10,2,5,2,3,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,10,2,,5,0,5,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,10,6,,3,0,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,3,9,,5,3,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,4,5,,5,5,0,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,4,10,,4,2,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,7,9,,5,1,4,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,8,3,,4,3,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,2,,5,2,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,6,,5,1,4,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,8,,5,3,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,9,,5,0,5,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,10,2,5,0,5,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,6,6,1,5,5,0,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,6,8,,5,4,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,7,8,2,3,0,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,7,9,,5,4,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,9,6,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,4,5,,2,1,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,5,1,,2,1,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,5,2,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,6,5,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,7,9,,20,15,5,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,7,10,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,10,8,,2,0,2,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,10,9,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,1,8,1,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,1,10,,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,2,1,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,3,2,1,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,3,8,,5,1,4,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,4,2,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,6,6,1,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,7,9,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,8,3,2,5,2,3,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,9,6,,5,4,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,3,1,1,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,4,5,,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,5,4,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,1,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,4,,3,2,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,5,,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,6,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,1,1,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,1,8,1,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,2,6,1,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,3,7,,5,4,1,,
