"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"162","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,1,1,NA
"163","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,2,1,NA
"164","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,3,1,NA
"165","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,4,1,NA
"166","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,5,1,NA
"167","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,6,1,NA
"168","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,7,1,NA
"169","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,7,8,1,NA
"170","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,1,1,NA
"171","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,2,1,NA
"172","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,3,1,NA
"173","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,4,1,NA
"174","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,5,1,NA
"175","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,6,1,NA
"176","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,7,1,NA
"177","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,8,1,NA
"178","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,9,1,NA
"179","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,10,1,NA
"180","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,11,1,NA
"181","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,8,12,1,NA
"182","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,1,1,NA
"183","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,2,1,NA
"184","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,3,1,NA
"185","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,4,1,NA
"186","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,5,1,NA
"187","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,6,1,NA
"188","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,7,1,NA
"189","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,9,8,1,NA
"190","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,10,NA,1,NA
"191","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,5,1,1,NA
"192","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,5,2,1,NA
"193","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,7,1,1,NA
"194","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,7,2,1,NA
"195","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,8,1,1,NA
"196","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,8,2,1,NA
"197","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,8,3,1,NA
"198","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,9,1,1,NA
"199","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,9,2,1,NA
"200","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",3,9,3,1,NA
"201","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,8,1,1,NA
"202","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,8,2,1,NA
"203","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,1,1,NA
"204","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,2,1,NA
"205","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,3,1,NA
"206","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,4,1,NA
"207","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,5,1,NA
"208","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,6,1,NA
"209","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,7,1,NA
"210","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,8,1,NA
"211","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,9,1,NA
"212","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,10,1,NA
"213","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,11,1,NA
"214","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,9,12,1,NA
"215","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,1,1,NA
"216","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,2,1,NA
"217","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,3,1,NA
"218","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,4,1,NA
