"","Bosque","Codigo","Tanda","Dia","ID","Especie.planta","Numero.flores","GPS","x","y"
"337","Villamanrique Sur","VS",6,"27.5.2020","cc1","Andryala integrifolia",46,"",20,16
"338","Villamanrique Sur","VS",6,"27.5.2020","cc1","Anthemis arvensis",3,"",20,16
"339","Villamanrique Sur","VS",6,"27.5.2020","cc1","Tolpis barbata",4,"",20,16
"340","Villamanrique Sur","VS",6,"27.5.2020","cc1","Silene colorata",5,"",20,16
"341","Villamanrique Sur","VS",6,"27.5.2020","cc1","Cistus crispus",20,"",20,16
"342","Villamanrique Sur","VS",3,"23.4.2020","CC2","Cistus crispus",3,"VSCC2",18,14
"343","Villamanrique Sur","VS",4,"4.5.2020","cc2","Tuberaria guttata",26,"",18,14
"344","Villamanrique Sur","VS",4,"4.5.2020","cc2","Silene colorata",30,"",18,14
"345","Villamanrique Sur","VS",4,"4.5.2020","cc2","Ornithopus sativus",10,"",18,14
"346","Villamanrique Sur","VS",4,"4.5.2020","cc2","Tolpis barbata",3,"",18,14
"347","Villamanrique Sur","VS",4,"4.5.2020","cc2","Cistus crispus",13,"",18,14
"348","Villamanrique Sur","VS",5,"19.5.2020","CC2","Andryala integrifolia",2,"",18,14
"349","Villamanrique Sur","VS",5,"19.5.2020","CC2","Leontodon hispidus",15,"",18,14
"350","Villamanrique Sur","VS",5,"19.5.2020","CC2","Cistus crispus",20,"",18,14
"351","Villamanrique Sur","VS",2,"4.3.2020","CS1","Cistus salviifolius",2,"VSCS1",13,17
"352","Villamanrique Sur","VS",3,"23.4.2020","CS1","Cistus salviifolius",0,"",13,17
"353","Villamanrique Sur","VS",5,"19.5.2020","cs1","Tolpis barbata",2,"",13,17
"354","Villamanrique Sur","VS",5,"19.5.2020","cs1","Tuberaria guttata",4,"",13,17
"355","Villamanrique Sur","VS",5,"19.5.2020","cs1","Silene colorata",6,"",13,17
"356","Villamanrique Sur","VS",5,"19.5.2020","cs1","Leontodon hispidus",10,"",13,17
"357","Villamanrique Sur","VS",5,"19.5.2020","cs1","Cistus salviifolius",2,"",13,17
"358","Villamanrique Sur","VS",6,"27.5.2020","cs1","Cistus salviifolius",9,"",13,17
"359","Villamanrique Sur","VS",3,"23.4.2020","CS10","Cistus salviifolius",6,"",11,15
"360","Villamanrique Sur","VS",6,"27.5.2020","cs10","Cistus salviifolius",8,"",11,15
"361","Villamanrique Sur","VS",3,"23.4.2020","CS11","Cistus salviifolius",9,"",13,22
"362","Villamanrique Sur","VS",4,"4.5.2020","cs11","Cistus salviifolius",15,"",13,22
"363","Villamanrique Sur","VS",3,"23.4.2020","CS12","Cistus salviifolius",10,"",4,24
"364","Villamanrique Sur","VS",4,"4.5.2020","cs13","Cistus salviifolius",7,"VSCS13",2,4
"365","Villamanrique Sur","VS",4,"4.5.2020","cs14","Cistus salviifolius",5,"VSCS14",10,21
"366","Villamanrique Sur","VS",5,"19.5.2020","cs14","Cistus salviifolius",6,"",10,21
"367","Villamanrique Sur","VS",6,"27.5.2020","cs14","Cistus salviifolius",30,"",10,21
"368","Villamanrique Sur","VS",2,"4.3.2020","CS2","Cistus salviifolius",1,"VSCS2",13,17
"369","Villamanrique Sur","VS",3,"23.4.2020","CS2","Cistus salviifolius",0,"",13,17
"370","Villamanrique Sur","VS",2,"4.3.2020","CS3","Cistus salviifolius",1,"VSCS3",13,17
"371","Villamanrique Sur","VS",2,"4.3.2020","CS4","Cistus salviifolius",4,"VSCS4",9,18
"372","Villamanrique Sur","VS",3,"23.4.2020","CS4","Cistus salviifolius",1,"",9,18
"373","Villamanrique Sur","VS",5,"19.5.2020","cs4","Tuberaria guttata",14,"",9,18
"374","Villamanrique Sur","VS",5,"19.5.2020","cs4","Andryala integrifolia",4,"",9,18
"375","Villamanrique Sur","VS",5,"19.5.2020","cs4","Cistus salviifolius",35,"",9,18
"376","Villamanrique Sur","VS",6,"27.5.2020","cs4","Cistus salviifolius",30,"",9,18
"377","Villamanrique Sur","VS",2,"4.3.2020","CS5","Cistus salviifolius",2,"VSCS5",9,18
"378","Villamanrique Sur","VS",4,"4.5.2020","cs5","Cistus salviifolius",0,"",9,18
"379","Villamanrique Sur","VS",5,"19.5.2020","cs5","Cistus salviifolius",21,"",9,18
"380","Villamanrique Sur","VS",2,"4.3.2020","CS6","Cistus salviifolius",3,"VSCS6",14,14
"381","Villamanrique Sur","VS",3,"23.4.2020","CS7","Cistus salviifolius",5,"",9,14
"382","Villamanrique Sur","VS",3,"23.4.2020","CS8","Cistus salviifolius",12,"",11,15
"383","Villamanrique Sur","VS",3,"23.4.2020","CS9","Cistus salviifolius",10,"",11,15
"384","Villamanrique Sur","VS",5,"19.5.2020","cs9","Cistus salviifolius",3,"",11,15
"385","Villamanrique Sur","VS",6,"27.5.2020","cs9","Cistus salviifolius",10,"",11,15
"386","Villamanrique Sur","VS",3,"23.4.2020","HH1","Tuberaria guttata",3,"VSHH1",18,14
"387","Villamanrique Sur","VS",3,"23.4.2020","HH1","Leontodon hispidus",6,"VSHH1",18,14
"388","Villamanrique Sur","VS",3,"23.4.2020","HH1","Halimium halimifolium",20,"VSHH1",18,14
"389","Villamanrique Sur","VS",4,"4.5.2020","hh1","Tuberaria guttata",6,"",18,14
"390","Villamanrique Sur","VS",4,"4.5.2020","hh1","Leontodon hispidus",20,"",18,14
"391","Villamanrique Sur","VS",4,"4.5.2020","hh1","Halimium halimifolium",20,"",18,14
"392","Villamanrique Sur","VS",5,"19.5.2020","hh1","Halimium halimifolium",80,"",18,14
"393","Villamanrique Sur","VS",6,"27.5.2020","hh1","Halimium halimifolium",40,"",18,14
"394","Villamanrique Sur","VS",3,"23.4.2020","HH10","Halimium halimifolium",15,"VSHH10",5,4
"395","Villamanrique Sur","VS",4,"4.5.2020","hh10","Halimium halimifolium",60,"",5,4
"396","Villamanrique Sur","VS",3,"23.4.2020","HH11","Halimium halimifolium",20,"VSHH11",5,4
"397","Villamanrique Sur","VS",4,"4.5.2020","hh11","Halimium halimifolium",40,"",5,4
"398","Villamanrique Sur","VS",3,"23.4.2020","HH12","Halimium halimifolium",10,"VSHH12",5,4
"399","Villamanrique Sur","VS",4,"4.5.2020","hh12","Halimium halimifolium",30,"",5,4
"400","Villamanrique Sur","VS",3,"23.4.2020","HH13","Halimium halimifolium",18,"VSHH13",5,4
"401","Villamanrique Sur","VS",4,"4.5.2020","hh13","Halimium halimifolium",50,"",5,4
"402","Villamanrique Sur","VS",6,"27.5.2020","hh13","Halimium halimifolium",45,"",5,4
"403","Villamanrique Sur","VS",3,"23.4.2020","HH14","Halimium halimifolium",40,"VSHH14",5,4
"404","Villamanrique Sur","VS",4,"4.5.2020","hh14","Halimium halimifolium",100,"",5,4
"405","Villamanrique Sur","VS",3,"23.4.2020","HH15","Halimium halimifolium",20,"VSHH15",1,9
"406","Villamanrique Sur","VS",4,"4.5.2020","hh15","Halimium halimifolium",10,"",1,9
"407","Villamanrique Sur","VS",5,"19.5.2020","hh15","Halimium halimifolium",40,"",1,9
"408","Villamanrique Sur","VS",6,"27.5.2020","hh15","Halimium halimifolium",30,"",1,9
"409","Villamanrique Sur","VS",3,"23.4.2020","HH16","Halimium halimifolium",30,"VSHH16",1,9
"410","Villamanrique Sur","VS",5,"19.5.2020","hh16","Halimium halimifolium",120,"",1,9
"411","Villamanrique Sur","VS",6,"27.5.2020","hh16","Halimium halimifolium",20,"",1,9
"412","Villamanrique Sur","VS",3,"23.4.2020","HH17","Halimium halimifolium",35,"VSHH17",7,2
"413","Villamanrique Sur","VS",4,"4.5.2020","hh17","Halimium halimifolium",100,"VSHH17",7,2
"414","Villamanrique Sur","VS",3,"23.4.2020","HH18","Halimium halimifolium",16,"VSHH18",0,1
"415","Villamanrique Sur","VS",4,"4.5.2020","hh18","Halimium halimifolium",180,"VSHH18",0,1
"416","Villamanrique Sur","VS",4,"4.5.2020","hh19","Halimium halimifolium",140,"VSHH19",3,4
"417","Villamanrique Sur","VS",3,"23.4.2020","HH2","Tolpis barbata",2,"VSHH2",18,14
"418","Villamanrique Sur","VS",3,"23.4.2020","HH2","Leontodon hispidus",20,"VSHH2",18,14
"419","Villamanrique Sur","VS",3,"23.4.2020","HH2","Tuberaria guttata",4,"VSHH2",18,14
"420","Villamanrique Sur","VS",3,"23.4.2020","HH2","Halimium halimifolium",25,"VSHH2",18,14
"421","Villamanrique Sur","VS",5,"19.5.2020","hh2","Halimium halimifolium",25,"",18,14
"422","Villamanrique Sur","VS",6,"27.5.2020","hh2","Halimium halimifolium",25,"",18,14
"423","Villamanrique Sur","VS",4,"4.5.2020","hh20","Halimium halimifolium",60,"VSHH20",3,4
"424","Villamanrique Sur","VS",5,"19.5.2020","hh20","Halimium halimifolium",80,"",3,4
"425","Villamanrique Sur","VS",6,"27.5.2020","hh20","Halimium halimifolium",35,"",3,4
"426","Villamanrique Sur","VS",4,"4.5.2020","hh21","Halimium halimifolium",25,"VSHH21",3,4
"427","Villamanrique Sur","VS",6,"27.5.2020","hh21","Halimium halimifolium",40,"",3,4
"428","Villamanrique Sur","VS",4,"4.5.2020","hh22","Halimium halimifolium",20,"VSHH22",8,17
"429","Villamanrique Sur","VS",6,"27.5.2020","hh22","Halimium halimifolium",6,"",8,17
"430","Villamanrique Sur","VS",4,"4.5.2020","hh23","Halimium halimifolium",30,"VSHH23",6,21
"431","Villamanrique Sur","VS",6,"27.5.2020","hh23","Halimium halimifolium",17,"",6,21
"432","Villamanrique Sur","VS",4,"4.5.2020","hh24","Halimium halimifolium",17,"VSHH24",6,21
"433","Villamanrique Sur","VS",5,"19.5.2020","hh24","Halimium halimifolium",33,"",6,21
"434","Villamanrique Sur","VS",4,"4.5.2020","hh25","Halimium halimifolium",30,"VSHH25",9,15
"435","Villamanrique Sur","VS",5,"19.5.2020","hh25","Halimium halimifolium",20,"",9,15
"436","Villamanrique Sur","VS",3,"23.4.2020","HH3","Tuberaria guttata",6,"VSHH3",9,12
"437","Villamanrique Sur","VS",3,"23.4.2020","HH3","Silene colorata",3,"VSHH3",9,12
"438","Villamanrique Sur","VS",3,"23.4.2020","HH3","Leontodon hispidus",50,"VSHH3",9,12
"439","Villamanrique Sur","VS",3,"23.4.2020","HH3","Halimium halimifolium",30,"VSHH3",9,12
"440","Villamanrique Sur","VS",4,"4.5.2020","hh3","Andryala integrifolia",3,"",9,12
"441","Villamanrique Sur","VS",4,"4.5.2020","hh3","Tuberaria guttata",8,"",9,12
"442","Villamanrique Sur","VS",4,"4.5.2020","hh3","Tolpis barbata",2,"",9,12
"443","Villamanrique Sur","VS",4,"4.5.2020","hh3","Silene colorata",7,"",9,12
"444","Villamanrique Sur","VS",4,"4.5.2020","hh3","Leontodon hispidus",7,"",9,12
"445","Villamanrique Sur","VS",4,"4.5.2020","hh3","Halimium halimifolium",100,"",9,12
"446","Villamanrique Sur","VS",3,"23.4.2020","HH4","Halimium halimifolium",6,"VSHH4",10,10
"447","Villamanrique Sur","VS",5,"19.5.2020","hh4","Halimium halimifolium",100,"",10,10
"448","Villamanrique Sur","VS",3,"23.4.2020","HH5","Halimium halimifolium",30,"VSHH5",10,10
"449","Villamanrique Sur","VS",3,"23.4.2020","HH6","Halimium halimifolium",40,"VSHH6",9,4
"450","Villamanrique Sur","VS",4,"4.5.2020","hh6","Tolpis barbata",2,"",9,4
"451","Villamanrique Sur","VS",4,"4.5.2020","hh6","Leontodon hispidus",3,"",9,4
"452","Villamanrique Sur","VS",4,"4.5.2020","hh6","Halimium halimifolium",60,"",9,4
"453","Villamanrique Sur","VS",3,"23.4.2020","HH7","Halimium halimifolium",20,"VSHH7",9,4
"454","Villamanrique Sur","VS",4,"4.5.2020","hh7","Halimium halimifolium",120,"",9,4
"455","Villamanrique Sur","VS",3,"23.4.2020","HH8","Halimium halimifolium",30,"VSHH8",9,4
"456","Villamanrique Sur","VS",4,"4.5.2020","hh8","Halimium halimifolium",100,"",9,4
"457","Villamanrique Sur","VS",5,"19.5.2020","hh8","Halimium halimifolium",120,"",9,4
"458","Villamanrique Sur","VS",3,"23.4.2020","HH9","Halimium halimifolium",60,"VSHH9",9,4
"459","Villamanrique Sur","VS",4,"4.5.2020","hh9","Halimium halimifolium",110,"",14,21
"460","Villamanrique Sur","VS",2,"4.3.2020","LS1","Lavandula stoechas",34,"VSLS1",14,21
"461","Villamanrique Sur","VS",3,"23.4.2020","LS1","Lavandula stoechas",56,"",9,4
