"","Bosque","Codigo","Dia","ID","Especie.planta","Frutos","id","quad","quad2","periodo","periodo2","flores","flores2","fruit_set"
"92","Pinar Puebla","PP","2.06.2020","cs45","Cistus salviifolius",30,"PPCS45","18,9","18,9",3,"3",8,8,3.75
"93","Pinar Puebla","PP","2.06.2020","cs46","Cistus salviifolius",40,"PPCS46","22,13","22,13",3,"3",4,4,10
"94","Pinar Puebla","PP","2.06.2020","cs47","Cistus salviifolius",80,"PPCS47","22,13","22,13",3,"3",28,28,2.85714285714286
"95","Pinar Hinojos","PH","1.06.2020","hc12","Halimium comutatum",60,"PHHC12",NA,"4,17",NA,"5",NA,70,0.857142857142857
"96","Pinar Hinojos","PH","1.06.2020","hc14","Halimium comutatum",30,"PHHC14",NA,"4,17",NA,"6",NA,2,15
"97","Pinar Hinojos","PH","1.06.2020","hc15","Halimium comutatum",50,"PHHC15",NA,"4,17",NA,"6",NA,3,16.6666666666667
"98","Pinar Hinojos","PH","1.06.2020","hc6","Halimium comutatum",20,"PHHC6",NA,"7,17",NA,"6",NA,1,20
"99","Pinar Hinojos","PH","1.06.2020","hc5","Halimium comutatum",12,"PHHC5",NA,"7,17",NA,"5",NA,8,1.5
"100","Pinar Hinojos","PH","1.06.2020","CLi1","Cistus libanotis",40,"PHCLI1",NA,"3,17",NA,"3",NA,5,8
"101","Pinar Hinojos","PH","1.06.2020","hc9","Halimium comutatum",5,"PHHC9",NA,"7,17",NA,"5",NA,7,0.714285714285714
"102","Pinar Hinojos","PH","1.06.2020","CLi3","Cistus libanotis",2,"PHCLI3",NA,"4,1",NA,"3",NA,2,1
"103","Pinar Hinojos","PH","1.06.2020","hc10","Halimium comutatum",0,"PHHC10",NA,"17,4",NA,"5",NA,4,0
"104","Pinar Hinojos","PH","1.06.2020","hc2","Halimium comutatum",3,"PHHC2",NA,"7,17",NA,"5",NA,4,0.75
"105","Pinar Hinojos","PH","1.06.2020","hc3","Halimium comutatum",4,"PHHC3",NA,"7,17",NA,"5",NA,6,0.666666666666667
"106","Pinar Hinojos","PH","1.06.2020","hc13","Halimium comutatum",9,"PHHC13",NA,"4,17",NA,"5",NA,15,0.6
"107","Pinar Hinojos","PH","1.06.2020","hc4","Halimium comutatum",3,"PHHC4",NA,"7,17",NA,"5",NA,5,0.6
"108","Villamanrique chaparral","VC","1.06.2020","cc1","Cistus crispus",160,"VCCC1",NA,"7,2",NA,"4",NA,31,5.16129032258065
"109","Villamanrique chaparral","VC","1.06.2020","cc2","Cistus crispus",230,"VCCC2",NA,"7,2",NA,"4",NA,20,11.5
"110","Villamanrique chaparral","VC","1.06.2020","cc3","Cistus crispus",50,"VCCC3","6,5","6,5",3,"3",1,1,50
"111","Villamanrique chaparral","VC","1.06.2020","cc4","Cistus crispus",30,"VCCC4","9,3","9,3",3,"3",1,1,30
"112","Villamanrique chaparral","VC","1.06.2020","cc6","Cistus crispus",180,"VCCC6","9,3","9,3",3,"3",17,17,10.5882352941176
"113","Villamanrique chaparral","VC","1.06.2020","cc7","Cistus crispus",300,"VCCC7","11,6","11,6",3,"3",7,7,42.8571428571429
"114","Villamanrique chaparral","VC","1.06.2020","cc8","Cistus crispus",140,"VCCC8","17,11","17,11",3,"3",5,5,28
"115","Villamanrique chaparral","VC","1.06.2020","cc9","Cistus crispus",80,"VCCC9","17,11","17,11",3,"3",18,18,4.44444444444444
"116","Villamanrique chaparral","VC","1.06.2020","cc10","Cistus crispus",40,"VCCC10","17,11","17,11",3,"3",1,1,40
"117","Villamanrique chaparral","VC","1.06.2020","cc12","Cistus crispus",70,"VCCC12","19,10","19,10",3,"3",5,5,14
"118","Villamanrique chaparral","VC","1.06.2020","cc14","Cistus crispus",130,"VCCC14","1,9","1,9",3,"3",12,12,10.8333333333333
"119","Villamanrique chaparral","VC","1.06.2020","cc15","Cistus crispus",70,"VCCC15","2,9","2,9",3,"3",4,4,17.5
"120","Villamanrique chaparral","VC","1.06.2020","cc16","Cistus crispus",60,"VCCC16",NA,"2,9",NA,"4",NA,15,4
"121","Villamanrique chaparral","VC","1.06.2020","cc17","Cistus crispus",50,"VCCC17",NA,"2,9",NA,"4",NA,3,16.6666666666667
"122","Villamanrique chaparral","VC","1.06.2020","cc18","Cistus crispus",80,"VCCC18",NA,"2,9",NA,"3",NA,13,6.15384615384615
