Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,1,1,1,1,0,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,1,1,1,0,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,2,1,1,0,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,3,6,1,0,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,4,5,8,4,4,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,5,4,1,0,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Halimium_calycinum,8,4,2,0,2,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,7,Cistus_libanotis,4,8,1,1,0,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,7,Cistus_libanotis,10,7,4,0,4,2021,111,51,16,8,2
2021-05-12,Pinar Hinojos,8,NA,NA,NA,NA,NA,NA,2021,132,72,19,11,3
2021-05-24,Pinar Hinojos,9,NA,NA,NA,NA,NA,NA,2021,144,84,21,12,3
2021-03-10,Pinar Puebla,1,Cistus_salviifolius,3,6,5,4,1,2021,69,9,10,2,1
2021-03-10,Pinar Puebla,1,Cistus_salviifolius,6,2,5,5,0,2021,69,9,10,2,1
2021-03-10,Pinar Puebla,1,Cistus_salviifolius,7,7,5,4,1,2021,69,9,10,2,1
2021-03-10,Pinar Puebla,1,Cistus_salviifolius,9,4,5,5,0,2021,69,9,10,2,1
2021-03-10,Pinar Puebla,1,Cistus_salviifolius,9,10,5,5,0,2021,69,9,10,2,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,2,4,5,4,1,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,3,6,5,4,1,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,3,10,5,5,0,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,6,1,5,5,0,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,6,1,5,5,0,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,6,2,5,3,2,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,7,7,5,5,0,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,9,2,5,4,1,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,9,4,5,5,0,2021,76,16,11,3,1
2021-03-17,Pinar Puebla,2,Cistus_salviifolius,9,10,5,5,0,2021,76,16,11,3,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,2,10,5,3,2,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,3,6,5,4,1,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,3,10,5,3,2,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,1,5,5,0,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,1,5,4,1,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,6,2,5,4,1,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,7,1,5,5,0,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,7,7,5,5,0,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,9,4,5,5,0,2021,85,25,12,4,1
2021-03-26,Pinar Puebla,3,Cistus_salviifolius,9,10,5,4,1,2021,85,25,12,4,1
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,1,2,7,2,5,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,1,7,1,0,1,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,2,10,3,3,0,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,3,6,1,0,1,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,4,2,1,0,1,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,4,6,4,2,2,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,5,1,2,2,0,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,5,7,2,2,0,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,6,1,1,1,0,2021,98,38,14,6,2
2021-04-08,Pinar Puebla,4,Cistus_salviifolius,9,2,1,0,1,2021,98,38,14,6,2
2021-04-20,Pinar Puebla,5,Cistus_salviifolius,2,10,2,1,1,2021,110,50,16,8,2
2021-04-20,Pinar Puebla,5,Cistus_salviifolius,3,4,1,0,1,2021,110,50,16,8,2
2021-04-20,Pinar Puebla,5,Cistus_salviifolius,6,1,1,1,0,2021,110,50,16,8,2
2021-04-20,Pinar Puebla,5,Cistus_salviifolius,9,4,1,0,1,2021,110,50,16,8,2
2021-04-30,Pinar Puebla,6,Cistus_crispus,8,6,2,2,0,2021,120,60,17,9,2
