Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo,Codigo_within_sequence,Polinizador,Planta,X,Y
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,7,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,8,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,9,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,10,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,11,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,12,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,13,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,14,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,15,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,16,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:18:00,Pinar Hinojos,HV3-03,17,Lasioglossum_sp,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,1,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,2,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,3,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,4,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,5,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,6,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,7,Lasioglossum_morio,Halimium_calycinum,5,4
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,1,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,2,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,3,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,4,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,5,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,6,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,7,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,8,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,9,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,10,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,11,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,12,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:35:00,Pinar Hinojos,HV3-04,13,Lasioglossum_morio,Halimium_calycinum,5,3
2021,78,11,3,12:55:00,Pinar Hinojos,HV3-05,1,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,78,11,3,12:55:00,Pinar Hinojos,HV3-05,2,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,78,11,3,12:55:00,Pinar Hinojos,HV3-05,3,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,78,11,3,12:55:00,Pinar Hinojos,HV3-05,4,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,78,11,3,12:55:00,Pinar Hinojos,HV3-05,5,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,1,Lasioglossum_sp,Halimium_calycinum,8,1
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,2,Lasioglossum_sp,Halimium_calycinum,8,1
