Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance,log_prob_cons
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,3,9,5,5,0,2021,74,14,11,2,March,3-9,0.999,3-9 Cistus_salviifolius,29,8,0,0.9781484241076369,3,1,6,0,4,-0.009595240426997387
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,3,10,5,5,0,2021,74,14,11,2,March,3-10,0.999,3-10 Cistus_salviifolius,34,6,2,0.999982540333495,2,1,11,1,2,-7.5827030149247274e-6
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,4,9,5,5,0,2021,74,14,11,2,March,4-9,0.999,4-9 Cistus_salviifolius,47,14,2,0.9636904944608595,5,1,7,0,5,-0.01606242473880124
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,7,9,5,4,1,2021,74,14,11,2,March,7-9,0.8,7-9 Cistus_salviifolius,14,8,0,0.9999883661647547,2,1,7,0,2,-5.052539840658535e-6
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,1,6,5,5,0,2021,81,21,12,3,March,1-6,0.999,1-6 Cistus_salviifolius,164,12,2,0.9999767339841847,5,1,34,0,6,-1.0104419829692693e-5
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,3,7,5,4,1,2021,81,21,12,3,March,3-7,0.8,3-7 Cistus_salviifolius,12,8,0,0.9999794424717044,2,1,23,0,2,-8.92811287060849e-6
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,3,10,5,5,0,2021,81,21,12,3,March,3-10,0.999,3-10 Cistus_salviifolius,62,6,2,0.999982540333495,1,1,14,0,1,-7.5827030149247274e-6
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,5,2,5,5,0,2021,81,21,12,3,March,5-2,0.999,5-2 Cistus_salviifolius,2,6,0,0.9999831484438624,1,1,12,0,1,-7.3185995071198074e-6
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,6,3,5,5,0,2021,81,21,12,3,March,6-3,0.999,6-3 Cistus_salviifolius,6,6,0,0.9999582318912087,1,1,9,0,1,-1.814003800777705e-5
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,8,3,5,5,0,2021,81,21,12,3,March,8-3,0.999,8-3 Cistus_salviifolius,62,20,0,0.9999941734443714,2,1,14,0,4,-2.530448329927154e-6
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,9,7,5,4,1,2021,81,21,12,3,March,9-7,0.8,9-7 Cistus_salviifolius,8,12,0,0.9905874304068343,1,1,8,0,2,-0.004107187094109471
2021-03-22,Pinar Villamanrique Sur,3,Cistus_salviifolius,9,8,5,5,0,2021,81,21,12,3,March,9-8,0.999,9-8 Cistus_salviifolius,6,12,0,0.9999875636137168,1,1,33,0,2,-5.401087522700032e-6
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,3,10,5,5,0,2021,96,36,14,6,April,3-10,0.999,3-10 Cistus_salviifolius,67,7,2,0.9999910104529701,1,1,59,0,1,-3.9041282180853344e-6
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,4,9,5,4,1,2021,96,36,14,6,April,4-9,0.8,4-9 Cistus_salviifolius,51,18,2,0.9999523815303313,1,1,35,0,1,-2.0680931014853487e-5
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,5,1,5,5,0,2021,96,36,14,6,April,5-1,0.999,5-1 Cistus_salviifolius,9,7,0,0.9935184768387818,2,1,48,0,2,-0.0028240517403671592
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,6,3,5,5,0,2021,96,36,14,6,April,6-3,0.999,6-3 Cistus_salviifolius,44,13,0,0.9620556454908917,1,1,31,0,3,-0.016799807556027842
