Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,7,3,5,3,2,2021,127,67,18,10,May,7-3,0.6,7-3 Cistus_crispus,1,5,0,0.5441180746291737,1,1,9
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,9,2,5,2,3,2021,127,67,18,10,May,9-2,0.4,9-2 Cistus_crispus,NA,NA,NA,0.5466150647028961,NA,1,7
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,9,7,5,4,1,2021,127,67,18,10,May,9-7,0.8,9-7 Cistus_crispus,10,3,0,NA,1,NA,NA
2021-05-07,Pinar Aznalcazar,7,Halimium_halimifolium,8,10,10,10,0,2021,127,67,18,10,May,8-10,1,8-10 Halimium_halimifolium,NA,NA,NA,NA,NA,1,19
2021-05-07,Pinar Aznalcazar,7,Halimium_halimifolium,9,6,10,6,4,2021,127,67,18,10,May,9-6,0.6,9-6 Halimium_halimifolium,NA,NA,NA,NA,NA,1,34
2021-05-07,Pinar Aznalcazar,7,Halimium_halimifolium,10,8,10,6,4,2021,127,67,18,10,May,10-8,0.6,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,195
2021-05-07,Pinar Aznalcazar,7,Halimium_halimifolium,10,8,10,6,4,2021,127,67,18,10,May,10-8,0.6,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,195
2021-05-07,Pinar Aznalcazar,7,Halimium_halimifolium,10,9,10,6,4,2021,127,67,18,10,May,10-9,0.6,10-9 Halimium_halimifolium,NA,NA,NA,NA,NA,1,52
2021-05-19,Pinar Aznalcazar,8,Cistus_crispus,9,7,2,2,0,2021,139,79,20,12,May,9-7,1,9-7 Cistus_crispus,NA,NA,NA,NA,NA,NA,NA
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,8,10,10,4,6,2021,139,79,20,12,May,8-10,0.4,8-10 Halimium_halimifolium,NA,NA,NA,NA,NA,1,11
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,9,6,10,3,7,2021,139,79,20,12,May,9-6,0.3,9-6 Halimium_halimifolium,1,0,2,NA,1,1,12
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,10,8,10,2,8,2021,139,79,20,12,May,10-8,0.2,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,71
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,10,8,10,2,8,2021,139,79,20,12,May,10-8,0.2,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,71
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,10,9,10,3,7,2021,139,79,20,12,May,10-9,0.3,10-9 Halimium_halimifolium,NA,NA,NA,NA,NA,1,14
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,1,1,5,5,0,2021,61,1,09,1,March,1-1,1,1-1 Halimium_calycinum,NA,NA,NA,0.9963555207647539,NA,1,8
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,4,5,5,3,2,2021,61,1,09,1,March,4-5,0.6,4-5 Halimium_calycinum,NA,NA,NA,0.9999967341525975,NA,1,32
