Bosque,Planta,X,Y,Week_ISO,Periodo,prob_consp_step
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,4,16,2,0.9945228072890006
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,5,16,2,0.994522807200144
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,4,16,2,0.9945228072889796
Pinar Villamanrique Este (Chaparral),Cistus_crispus,7,1,16,2,0.9890756142180058
Pinar Villamanrique Este (Chaparral),Cistus_crispus,9,5,16,2,0.9945228072890062
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,1,8,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,2,6,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,3,8,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,3,10,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,4,2,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,4,9,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,5,6,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,5,9,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,8,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,8,3,16,2,NA
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,3,18,3,0.9984171525906558
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,4,18,3,0.9968968448234549
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,7,18,3,0.9992131038965791
Pinar Villamanrique Este (Chaparral),Cistus_crispus,2,3,18,3,0.9980564811942726
Pinar Villamanrique Este (Chaparral),Cistus_crispus,2,5,18,3,0.9904470689267993
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,4,18,3,0.999194779741346
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,4,18,3,0.9991517658233476
Pinar Villamanrique Este (Chaparral),Cistus_crispus,7,1,18,3,0.9984257275555104
Pinar Villamanrique Este (Chaparral),Cistus_crispus,9,5,18,3,0.999212954306233
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,2,19,3,0.9999999999999831
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,3,19,3,1
