Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Villamanrique Sur,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,April,10,9,0.9,37,24,0,0.5427251440241402,2,1,45,13,0,4,1,0,0,0.5427251440241402,45
Pinar Villamanrique Sur,5,1,Cistus_salviifolius,5-1 Cistus_salviifolius,April,5,5,0.999,51,7,0,0.255783529573367,3,2,79,13,0,3,1,0,0,0.255783529573367,79
Pinar Villamanrique Sur,5,2,Cistus_salviifolius,5-2 Cistus_salviifolius,March,5,5,0.999,4,12,0,0.07975825946104416,1,2,18,1,0,1,1,0,0,0.07975825946104416,18
Pinar Villamanrique Sur,5,8,Cistus_salviifolius,5-8 Cistus_salviifolius,April,10,8,0.8,4,6,0,0.6182572629250894,1,1,27,1,0,1,1,0,0,0.6182572629250894,27
Pinar Villamanrique Sur,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,March,5,5,0.999,12,12,0,0.07789106495775035,1,2,10,3,0,1,1,0,0,0.07789106495775035,10
Pinar Villamanrique Sur,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,April,5,5,0.999,190,35,0,0.6319574597781243,1,1,37,36,0,3,1,0,0,0.6319574597781243,37
Pinar Villamanrique Sur,7,9,Cistus_salviifolius,7-9 Cistus_salviifolius,March,5,4,0.8,35,20,0,0.155315051266567,2,1,53,7,0,2,1,0,0,0.155315051266567,53
Pinar Villamanrique Sur,8,2,Cistus_salviifolius,8-2 Cistus_salviifolius,April,20,19,0.95,265,85,0,0.4652900131195289,3,1,91,63,0,9,1,0,0,0.4652900131195289,91
Pinar Villamanrique Sur,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,0.999,124,40,0,0.14594137101168683,2,1,14,30,0,4,1,0,0,0.14594137101168683,14
Pinar Villamanrique Sur,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,5,5,0.999,89,46,0,0.470593845592647,3,1,9,18,0,4,1,0,0,0.470593845592647,9
Pinar Villamanrique Sur,8,5,Cistus_salviifolius,8-5 Cistus_salviifolius,April,5,5,0.999,2,6,0,0.5060039234679333,1,1,18,0,0,0,1,0,NA,0.5060039234679333,18
Pinar Villamanrique Sur,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,April,10,9,0.9,171,88,0,0.22808303907682453,3,2,31,35,0,8,1,0,0,0.22808303907682453,31
Pinar Villamanrique Sur,9,7,Cistus_salviifolius,9-7 Cistus_salviifolius,March,5,4,0.8,16,24,0,0.11514181741895725,1,1,14,4,0,2,1,0,0,0.11514181741895725,14
Pinar Villamanrique Sur,9,8,Cistus_salviifolius,9-8 Cistus_salviifolius,March,5,5,0.999,12,24,0,0.13997100390575004,1,1,40,3,0,2,1,0,0,0.13997100390575004,40
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,April,13,10,0.7692307692307693,22,8,0,0.9122113260983774,2,2,23,10,0,2,1,0,0,0.9122113260983774,23
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,May,5,5,0.999,9,9,12,0.7215917127090994,1,2,38,2,0,1,0.42857142857142855,0.5714285714285714,0,0.7215917127090994,38
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,April,9,9,0.999,6,8,0,0.8976411164493961,1,2,12,3,0,1,1,0,0,0.8976411164493961,12
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,4,0.8,33,15,12,0.15605679162875968,2,2,9,11,1,2,0.5555555555555556,0.4444444444444444,0.09090909090909091,0.15605679162875968,9
Pinar Aznalcazar,1,3,Cistus_crispus,1-3 Cistus_crispus,May,5,5,0.999,12,12,12,0.45234013762611325,2,2,23,3,1,2,0.5,0.5,0.3333333333333333,0.45234013762611325,23
Pinar Aznalcazar,1,9,Cistus_crispus,1-9 Cistus_crispus,April,5,2,0.4,12,22,4,0.9919928477444574,2,1,11,6,1,3,0.8461538461538461,0.15384615384615385,0.16666666666666666,0.9919928477444574,11
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,May,5,5,0.999,21,9,15,0.8859992934145655,2,2,59,7,0,2,0.375,0.625,0,0.8859992934145655,59
Pinar Aznalcazar,2,3,Cistus_crispus,2-3 Cistus_crispus,May,5,5,0.999,60,18,21,0.75412310551938,4,2,41,19,5,4,0.46153846153846156,0.5384615384615384,0.2631578947368421,0.75412310551938,41
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,April,10,10,0.999,14,20,0,0.9911583892425327,2,1,24,6,0,3,1,0,0,0.9911583892425327,24
