Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Villamanrique Este (Chaparral),5,5,Cistus_crispus,5-5 Cistus_crispus,May,6,2,0.3333333333333333,177,44,0,0.89429592940596,3,1,22,45,NA,5
Pinar Villamanrique Este (Chaparral),5,6,Cistus_salviifolius,5-6 Cistus_salviifolius,April,5,5,1,18,15,12,0.9999999675898831,3,1,38,3,NA,3
Pinar Villamanrique Este (Chaparral),5,9,Cistus_salviifolius,5-9 Cistus_salviifolius,April,5,3,0.6,10,15,0,0.9999969760314834,1,1,28,2,NA,1
Pinar Villamanrique Este (Chaparral),5,10,Cistus_ladanifer,5-10 Cistus_ladanifer,March,10,3,0.3,85,45,15,0.8546380724660582,4,1,32,13,NA,4
Pinar Villamanrique Este (Chaparral),6,1,Cistus_crispus,6-1 Cistus_crispus,April,1,0,0,25,38,0,0.4946752084225121,2,1,3,5,NA,4
Pinar Villamanrique Este (Chaparral),6,4,Cistus_crispus,6-4 Cistus_crispus,April,8,6,0.75,436,98,12,0.8360903964866553,4,2,33,102,NA,10
Pinar Villamanrique Este (Chaparral),6,4,Cistus_crispus,6-4 Cistus_crispus,May,10,7,0.7,147,77,0,0.9227956117896122,5,1,25,45,NA,6
Pinar Villamanrique Este (Chaparral),6,5,Cistus_crispus,6-5 Cistus_crispus,April,1,1,1,30,56,4,0.2421162237200711,4,3,19,7,NA,6
Pinar Villamanrique Este (Chaparral),6,5,Cistus_ladanifer,6-5 Cistus_ladanifer,April,1,1,1,NA,NA,NA,0.8180858095803892,NA,3,19,NA,NA,NA
Pinar Villamanrique Este (Chaparral),6,6,Cistus_crispus,6-6 Cistus_crispus,April,1,0,0,NA,NA,NA,0.9995110909958351,NA,2,104,NA,NA,NA
Pinar Villamanrique Este (Chaparral),6,6,Cistus_salviifolius,6-6 Cistus_salviifolius,March,5,5,1,NA,NA,NA,0.6821883793899137,NA,1,5,NA,NA,NA
Pinar Villamanrique Este (Chaparral),6,6,Cistus_salviifolius,6-6 Cistus_salviifolius,April,10,9,0.9,18,9,8,0.999999999820048,2,2,104,3,1,2
Pinar Villamanrique Este (Chaparral),6,8,Cistus_salviifolius,6-8 Cistus_salviifolius,March,5,4,0.8,3,6,6,0.7163432449666718,1,1,5,1,NA,1
