Fecha,Bosque,Ronda,Planta,X,Y,Flores,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,9,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
