"Fecha","Bosque","X.Y","Planta","Flores","Observaciones","Periodo","x","y"
0021-04-14,1,"22.05","Taraxacum sp.",1,"",1,"22","05"
0021-04-14,1,"22.05","Potentilla sterilis",3,"",1,"22","05"
0021-04-14,1,"23.05","0",0,"",1,"23","05"
0021-04-14,1,"24.05","0",0,"",1,"24","05"
0021-04-14,1,"24.06","Potentilla sterilis",1,"",1,"24","06"
0021-04-14,1,"23.06","Bellis perennis",1,"",1,"23","06"
0021-04-14,1,"22.06","Bellis perennis",2,"",1,"22","06"
0021-04-14,1,"21.06","Bellis perennis",2,"",1,"21","06"
0021-04-14,1,"21.06","Potentilla sterilis",1,"",1,"21","06"
0021-04-14,1,"20.06","Taraxacum sp.",2,"",1,"20","06"
0021-04-14,1,"20.06","Potentilla sterilis",3,"",1,"20","06"
0021-04-14,1,"19.06","Viola riviniana",2,"",1,"19","06"
0021-04-14,1,"18.06","Helleborus viridis",4,"",1,"18","06"
0021-04-14,1,"18.06","Bellis perennis",1,"",1,"18","06"
0021-04-14,1,"17.06","Bellis perennis",1,"",1,"17","06"
0021-04-14,1,"16.06","0",0,"",1,"16","06"
0021-04-14,1,"15.06","Taraxacum sp.",1,"",1,"15","06"
0021-04-14,1,"15.06","Potentilla sterilis",1,"",1,"15","06"
0021-04-14,1,"14.06","0",0,"",1,"14","06"
0021-04-14,1,"13.06","0",0,"",1,"13","06"
0021-04-14,1,"12.06","Hepatica nobilis",1,"",1,"12","06"
0021-04-14,1,"11.06","0",0,"",1,"11","06"
0021-04-14,1,"10.06","Hutchinsia alpina",24,"",1,"10","06"
0021-04-14,1,"9.06","Hutchinsia alpina",14,"",1,"9","06"
0021-04-14,1,"9.06","Taraxacum sp.",2,"",1,"9","06"
0021-04-14,1,"8.06","Viola riviniana",1,"",1,"8","06"
0021-04-14,1,"7.06","0",0,"",1,"7","06"
0021-04-14,1,"6.06","Helleborus viridis",2,"",1,"6","06"
0021-04-14,1,"6.06","Viola riviniana",2,"",1,"6","06"
0021-04-14,1,"5.06","Viola riviniana",3,"",1,"5","06"
0021-04-14,1,"4.06","Viola riviniana",1,"",1,"4","06"
0021-04-14,1,"3.06","0",0,"",1,"3","06"
0021-04-14,1,"2.06","Potentilla sterilis",2,"",1,"2","06"
0021-04-14,1,"1.06","Hepatica nobilis",1,"",1,"1","06"
0021-04-14,1,"0.06","0",0,"",1,"0","06"
0021-04-14,1,"0.07","Viola riviniana",1,"",1,"0","07"
0021-04-14,1,"0.07","Taraxacum sp.",1,"",1,"0","07"
0021-04-14,1,"0.07","Potentilla sterilis",1,"",1,"0","07"
0021-04-14,1,"1.07","Hepatica nobilis",1,"",1,"1","07"
0021-04-14,1,"2.07","Hepatica nobilis",1,"",1,"2","07"
0021-04-14,1,"2.07","Viola riviniana",3,"",1,"2","07"
0021-04-14,1,"2.07","Bellis perennis",1,"",1,"2","07"
0021-04-14,1,"3.07","Viola riviniana",1,"",1,"3","07"
0021-04-14,1,"4.07","Viola riviniana",1,"",1,"4","07"
0021-04-14,1,"4.07","Taraxacum sp.",1,"",1,"4","07"
0021-04-14,1,"4.07","Bellis perennis",1,"",1,"4","07"
0021-04-14,1,"5.07","Viola riviniana",4,"",1,"5","07"
0021-04-14,1,"5.07","Taraxacum sp.",1,"",1,"5","07"
0021-04-14,1,"5.07","Helleborus viridis",4,"",1,"5","07"
0021-04-14,1,"6.07","Potentilla sterilis",1,"",1,"6","07"
0021-04-14,1,"7.07","0",0,"",1,"7","07"
0021-04-14,1,"8.07","Helleborus viridis",3,"",1,"8","07"
0021-04-14,1,"8.07","Taraxacum sp.",2,"",1,"8","07"
0021-04-14,1,"9.07","Taraxacum sp.",1,"",1,"9","07"
0021-04-14,1,"10.07","Taraxacum sp.",1,"",1,"10","07"
0021-04-14,1,"11.07","0",0,"",1,"11","07"
0021-04-14,1,"12.07","Viola riviniana",3,"",1,"12","07"
0021-04-14,1,"13.07","Bellis perennis",1,"",1,"13","07"
0021-04-14,1,"14.07","Primula veris",2,"",1,"14","07"
0021-04-14,1,"14.07","Bellis perennis",1,"",1,"14","07"
0021-04-14,1,"15.07","Taraxacum sp.",2,"",1,"15","07"
0021-04-14,1,"16.07","Potentilla sterilis",1,"",1,"16","07"
0021-04-14,1,"16.07","Bellis perennis",1,"",1,"16","07"
0021-04-14,1,"17.07","0",0,"",1,"17","07"
0021-04-14,1,"18.07","Bellis perennis",2,"",1,"18","07"
0021-04-14,1,"18.07","Taraxacum sp.",1,"",1,"18","07"
0021-04-14,1,"19.07","Taraxacum sp.",1,"",1,"19","07"
0021-04-14,1,"19.07","Bellis perennis",2,"",1,"19","07"
0021-04-14,1,"19.07","Potentilla sterilis",4,"",1,"19","07"
0021-04-14,1,"19.07","Helleborus viridis",5,"",1,"19","07"
0021-04-14,1,"20.07","Potentilla sterilis",2,"",1,"20","07"
0021-04-14,1,"20.07","Taraxacum sp.",1,"",1,"20","07"
0021-04-14,1,"20.07","Bellis perennis",1,"",1,"20","07"
0021-04-14,1,"21.07","Bellis perennis",1,"",1,"21","07"
0021-04-14,1,"22.07","Helleborus viridis",2,"",1,"22","07"
0021-04-14,1,"22.07","Taraxacum sp.",1,"",1,"22","07"
0021-04-14,1,"23.07","Viola riviniana",1,"",1,"23","07"
0021-04-14,1,"24.07","Bellis perennis",3,"",1,"24","07"
0021-04-14,1,"24.07","Helleborus viridis",3,"",1,"24","07"
0021-04-14,1,"24.07","Taraxacum sp.",1,"",1,"24","07"
0021-04-14,1,"24.08","Taraxacum sp.",1,"",1,"24","08"
0021-04-14,1,"23.08","Taraxacum sp.",3,"",1,"23","08"
0021-04-14,1,"23.08","Taraxacum sp.",3,"",1,"23","08"
0021-04-14,1,"23.08","Potentilla sterilis",1,"",1,"23","08"
0021-04-14,1,"23.08","Viola riviniana",1,"",1,"23","08"
0021-04-14,1,"22.08","Viola riviniana",1,"",1,"22","08"
0021-04-14,1,"22.08","Taraxacum sp.",2,"",1,"22","08"
0021-04-14,1,"21.08","Taraxacum sp.",1,"",1,"21","08"
0021-04-14,1,"21.08","Helleborus viridis",4,"",1,"21","08"
0021-04-14,1,"20.08","Taraxacum sp.",2,"",1,"20","08"
0021-04-14,1,"20.08","Bellis perennis",1,"",1,"20","08"
0021-04-14,1,"20.08","Potentilla sterilis",3,"",1,"20","08"
0021-04-14,1,"19.08","Helleborus viridis",5,"",1,"19","08"
0021-04-14,1,"19.08","Taraxacum sp.",3,"",1,"19","08"
0021-04-14,1,"19.08","Bellis perennis",2,"",1,"19","08"
0021-04-14,1,"19.08","Potentilla sterilis",2,"",1,"19","08"
0021-04-14,1,"19.08","Viola riviniana",1,"",1,"19","08"
0021-04-14,1,"18.08","Potentilla sterilis",1,"",1,"18","08"
0021-04-14,1,"18.08","Bellis perennis",1,"",1,"18","08"
0021-04-14,1,"17.08","Viola riviniana",1,"",1,"17","08"
0021-04-14,1,"17.08","Taraxacum sp.",2,"",1,"17","08"
0021-04-14,1,"16.08","Potentilla sterilis",1,"",1,"16","08"
0021-04-14,1,"15.08","Bellis perennis",1,"",1,"15","08"
0021-04-14,1,"14.08","Hutchinsia alpina",10,"",1,"14","08"
0021-04-14,1,"14.08","Viola riviniana",1,"",1,"14","08"
